dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
3,2,2,1.0,1.0,1.0,2,5,0.003069162368774414,1831.125,1.0,1.0,1.0,2,5,0.0020160675048828125,1831.125
6,2,2,1.0,1.0,1.0,2,5,0.0013530254364013672,1831.125,1.0,1.0,1.0,2,5,0.0009210109710693359,1831.125
9,2,2,0.8888888888888888,0.9166666666666666,0.8888888888888888,2,7,0.0012369155883789062,1831.125,1.0,1.0,1.0,2,5,0.0008258819580078125,1831.125
12,2,2,0.9166666666666666,0.9444444444444445,0.9166666666666666,2,7,0.0011572837829589844,1831.125,1.0,1.0,1.0,2,5,0.0008361339569091797,1831.125
15,2,2,0.8,0.8190476190476191,0.8333333333333334,2,7,0.0009508132934570312,1831.125,1.0,1.0,1.0,2,5,0.0007078647613525391,1831.125
18,2,2,0.8888888888888888,0.8833333333333333,0.8833333333333333,2,7,0.0007851123809814453,1831.125,1.0,1.0,1.0,2,5,0.0004968643188476562,1831.125
21,2,2,0.9047619047619048,0.9,0.9,2,7,0.0015850067138671875,1831.125,1.0,1.0,1.0,2,5,0.00046515464782714844,1831.125
24,2,2,0.8333333333333334,0.8397435897435898,0.7946969696969698,2,7,0.0009682178497314453,1831.125,1.0,1.0,1.0,2,5,0.00035119056701660156,1831.125
27,2,2,0.8148148148148148,0.8380952380952381,0.7919191919191918,2,7,0.0009019374847412109,1831.125,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.0004742145538330078,1831.125
30,2,2,0.8333333333333334,0.8611111111111112,0.8278943278943279,2,7,0.0007150173187255859,1831.125,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.00037217140197753906,1831.125
3,2,4,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,6.198883056640625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00039076805114746094,1831.125
6,2,4,0.8333333333333334,0.5555555555555555,0.6666666666666666,1,3,0.00023984909057617188,1831.125,0.8333333333333334,0.7222222222222222,0.8333333333333334,1,3,0.0003809928894042969,1831.125
9,2,4,0.8888888888888888,0.9166666666666666,0.8888888888888888,2,7,0.0005366802215576172,1831.125,1.0,1.0,1.0,2,5,0.00033783912658691406,1831.125
12,2,4,0.9166666666666666,0.9444444444444445,0.9166666666666666,2,7,0.0005822181701660156,1831.125,1.0,1.0,1.0,2,5,0.0003457069396972656,1831.125
15,2,4,0.8,0.8190476190476191,0.8333333333333334,2,7,0.0005478858947753906,1831.125,1.0,1.0,1.0,2,5,0.00032711029052734375,1831.125
18,2,4,0.8888888888888888,0.8833333333333333,0.8833333333333333,2,7,0.000576019287109375,1831.125,1.0,1.0,1.0,2,5,0.0003178119659423828,1831.125
21,2,4,0.9047619047619048,0.9,0.9,2,7,0.0005829334259033203,1831.125,1.0,1.0,1.0,2,5,0.0004107952117919922,1831.125
24,2,4,0.8333333333333334,0.8397435897435898,0.7946969696969698,2,7,0.0006341934204101562,1831.125,1.0,1.0,1.0,2,5,0.0003628730773925781,1831.125
27,2,4,0.8148148148148148,0.8380952380952381,0.7919191919191918,2,7,0.0005800724029541016,1831.125,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.0003120899200439453,1831.125
30,2,4,0.8333333333333334,0.8611111111111112,0.8278943278943279,2,7,0.0005991458892822266,1831.125,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.0003020763397216797,1831.125
3,2,8,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,4.291534423828125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0002720355987548828,1831.125
6,2,8,0.5,0.16666666666666666,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.5,0.25,0.5,0,1,0.00026798248291015625,1831.125
9,2,8,0.6666666666666666,0.45,0.6666666666666666,1,3,0.0001761913299560547,1831.125,0.6666666666666666,0.5,0.6666666666666666,1,3,0.00028204917907714844,1831.125
12,2,8,0.5833333333333334,0.38888888888888884,0.5333333333333333,1,3,0.00016689300537109375,1831.125,1.0,1.0,1.0,2,5,0.0002532005310058594,1831.125
15,2,8,0.8,0.8000000000000002,0.875,2,5,0.0003230571746826172,1831.125,1.0,1.0,1.0,2,5,0.0002532005310058594,1831.125
18,2,8,0.7777777777777778,0.7738095238095237,0.8166666666666668,2,5,0.00034618377685546875,1831.125,1.0,1.0,1.0,2,5,0.00024318695068359375,1831.125
21,2,8,0.9047619047619048,0.9,0.9,2,7,0.00046181678771972656,1831.125,1.0,1.0,1.0,2,5,0.00024080276489257812,1831.125
24,2,8,0.8333333333333334,0.8397435897435898,0.7946969696969698,2,7,0.0004951953887939453,1831.125,1.0,1.0,1.0,2,5,0.0002789497375488281,1831.125
27,2,8,0.8148148148148148,0.8380952380952381,0.7919191919191918,2,7,0.0004820823669433594,1831.125,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.000247955322265625,1831.125
30,2,8,0.8333333333333334,0.8611111111111112,0.8278943278943279,2,7,0.0004949569702148438,1831.125,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.0002410411834716797,1831.125
3,2,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00022077560424804688,1831.125
6,2,16,0.5,0.16666666666666666,0.3333333333333333,0,1,2.86102294921875e-06,1831.125,0.5,0.25,0.5,0,1,0.0002090930938720703,1831.125
9,2,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0002090930938720703,1831.125
12,2,16,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00021028518676757812,1831.125
15,2,16,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0002067089080810547,1831.125
18,2,16,0.6666666666666666,0.4329004329004329,0.6,1,3,0.0001609325408935547,1831.125,0.7777777777777778,0.6190476190476191,0.7777777777777778,1,3,0.0002167224884033203,1831.125
21,2,16,0.6666666666666666,0.4444444444444444,0.6,1,3,0.00016307830810546875,1831.125,0.7619047619047619,0.6031746031746031,0.7619047619047619,1,3,0.00020503997802734375,1831.125
24,2,16,0.7083333333333334,0.47222222222222215,0.6060606060606061,1,3,0.00016689300537109375,1831.125,1.0,1.0,1.0,2,5,0.0002110004425048828,1831.125
27,2,16,0.7037037037037037,0.4688644688644688,0.6060606060606061,1,3,0.00017213821411132812,1831.125,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00020384788513183594,1831.125
30,2,16,0.7,0.4666666666666666,0.5897435897435898,1,3,0.00016808509826660156,1831.125,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.0001990795135498047,1831.125
3,2,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0001881122589111328,1831.125
6,2,32,0.5,0.16666666666666666,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.5,0.25,0.5,0,1,0.0001900196075439453,1831.125
9,2,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00020503997802734375,1831.125
12,2,32,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00018525123596191406,1831.125
15,2,32,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0001811981201171875,1831.125
18,2,32,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00018286705017089844,1831.125
21,2,32,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.00018286705017089844,1831.125
24,2,32,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.00017905235290527344,1831.125
27,2,32,0.4074074074074074,0.13580246913580246,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4074074074074074,0.16598079561042522,0.4074074074074074,0,1,0.00016927719116210938,1831.125
30,2,32,0.43333333333333335,0.14444444444444446,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.43333333333333335,0.1877777777777778,0.43333333333333335,0,1,0.0001671314239501953,1831.125
3,2,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016689300537109375,1831.125
6,2,64,0.5,0.16666666666666666,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.5,0.25,0.5,0,1,0.00016999244689941406,1831.125
9,2,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.86102294921875e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00023889541625976562,1831.125
12,2,64,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.86102294921875e-06,1831.125,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00019502639770507812,1831.125
15,2,64,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0001819133758544922,1831.125
18,2,64,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,2.6226043701171875e-06,1831.125,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00017714500427246094,1831.125
21,2,64,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,1.6689300537109375e-06,1831.125,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.0001819133758544922,1831.125
24,2,64,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.0001709461212158203,1831.125
27,2,64,0.4074074074074074,0.13580246913580246,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4074074074074074,0.16598079561042522,0.4074074074074074,0,1,0.0001659393310546875,1831.125
30,2,64,0.43333333333333335,0.14444444444444446,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.43333333333333335,0.1877777777777778,0.43333333333333335,0,1,0.0001671314239501953,1831.125
3,4,2,1.0,1.0,1.0,2,5,0.00021219253540039062,1831.125,1.0,1.0,1.0,2,5,0.00019693374633789062,1831.125
6,4,2,1.0,1.0,1.0,2,5,0.0001971721649169922,1831.125,1.0,1.0,1.0,2,5,0.00018286705017089844,1831.125
9,4,2,1.0,1.0,1.0,3,9,0.00036907196044921875,1831.125,1.0,1.0,1.0,2,5,0.00018310546875,1831.125
12,4,2,1.0,1.0,1.0,3,9,0.00038504600524902344,1831.125,1.0,1.0,1.0,2,5,0.0001766681671142578,1831.125
15,4,2,1.0,1.0,1.0,3,11,0.0004742145538330078,1831.125,1.0,1.0,1.0,2,5,0.00017881393432617188,1831.125
18,4,2,1.0,1.0,1.0,4,13,0.0005679130554199219,1831.125,1.0,1.0,1.0,2,5,0.0001800060272216797,1831.125
21,4,2,1.0,1.0,1.0,4,13,0.0005822181701660156,1831.125,1.0,1.0,1.0,2,5,0.00018095970153808594,1831.125
24,4,2,1.0,1.0,1.0,4,15,0.0006740093231201172,1831.125,1.0,1.0,1.0,2,5,0.00017690658569335938,1831.125
27,4,2,1.0,1.0,1.0,4,17,0.0007891654968261719,1831.125,1.0,1.0,1.0,4,9,0.0001850128173828125,1831.125
30,4,2,0.9333333333333333,0.9555555555555556,0.8888888888888888,4,15,0.0007119178771972656,1831.125,1.0,1.0,1.0,4,9,0.0001811981201171875,1831.125
3,4,4,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016617774963378906,1831.125
6,4,4,0.8333333333333334,0.5555555555555555,0.6666666666666666,1,3,0.0001049041748046875,1831.125,0.8333333333333334,0.7222222222222222,0.8333333333333334,1,3,0.0001697540283203125,1831.125
9,4,4,0.8888888888888888,0.9166666666666666,0.8888888888888888,2,7,0.0002827644348144531,1831.125,1.0,1.0,1.0,2,5,0.0001690387725830078,1831.125
12,4,4,0.9166666666666666,0.9444444444444445,0.9166666666666666,2,7,0.00029921531677246094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
15,4,4,0.9333333333333333,0.9629629629629629,0.9166666666666666,3,9,0.00039696693420410156,1831.125,1.0,1.0,1.0,2,5,0.00017380714416503906,1831.125
18,4,4,0.8888888888888888,0.9444444444444445,0.8333333333333334,3,9,0.0004260540008544922,1831.125,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.125
21,4,4,0.9047619047619048,0.9444444444444445,0.8666666666666667,3,9,0.0004169940948486328,1831.125,1.0,1.0,1.0,2,5,0.0001728534698486328,1831.125
24,4,4,0.9166666666666666,0.9487179487179488,0.8916666666666666,3,11,0.0005178451538085938,1831.125,1.0,1.0,1.0,2,5,0.00017070770263671875,1831.125
27,4,4,0.8888888888888888,0.8808080808080808,0.883838383838384,3,11,0.0005309581756591797,1831.125,0.9629629629629629,0.9660493827160493,0.9629629629629629,3,7,0.00017690658569335938,1831.125
30,4,4,0.9333333333333333,0.9188034188034188,0.9188034188034188,4,13,0.0006399154663085938,1831.125,0.9666666666666667,0.9690476190476189,0.9666666666666667,3,7,0.00017499923706054688,1831.125
3,4,8,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016307830810546875,1831.125
6,4,8,0.5,0.16666666666666666,0.3333333333333333,0,1,1.6689300537109375e-06,1831.125,0.5,0.25,0.5,0,1,0.0001671314239501953,1831.125
9,4,8,0.6666666666666666,0.45,0.6666666666666666,1,3,0.00010800361633300781,1831.125,0.6666666666666666,0.5,0.6666666666666666,1,3,0.00016689300537109375,1831.125
12,4,8,0.5833333333333334,0.38888888888888884,0.5333333333333333,1,3,0.00011372566223144531,1831.125,1.0,1.0,1.0,2,5,0.00016880035400390625,1831.125
15,4,8,0.8,0.8000000000000002,0.875,2,5,0.00022292137145996094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
18,4,8,0.7777777777777778,0.7738095238095237,0.8166666666666668,2,5,0.0002319812774658203,1831.125,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.125
21,4,8,0.9047619047619048,0.9,0.9,2,7,0.0003371238708496094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
24,4,8,0.8333333333333334,0.8397435897435898,0.7946969696969698,2,7,0.0003452301025390625,1831.125,1.0,1.0,1.0,2,5,0.00017881393432617188,1831.140625
27,4,8,0.8148148148148148,0.8380952380952381,0.7919191919191918,2,7,0.0003597736358642578,1831.140625,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00017309188842773438,1831.140625
30,4,8,0.8333333333333334,0.8611111111111112,0.8278943278943279,2,7,0.0003750324249267578,1831.140625,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.00017404556274414062,1831.140625
3,4,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0001621246337890625,1831.140625
6,4,16,0.5,0.16666666666666666,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.5,0.25,0.5,0,1,0.00016427040100097656,1831.140625
9,4,16,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016117095947265625,1831.140625
12,4,16,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00016498565673828125,1831.140625
15,4,16,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.00016307830810546875,1831.140625
18,4,16,0.6666666666666666,0.4329004329004329,0.6,1,3,0.0001270771026611328,1831.140625,0.7777777777777778,0.6190476190476191,0.7777777777777778,1,3,0.00016570091247558594,1831.140625
21,4,16,0.6666666666666666,0.4444444444444444,0.6,1,3,0.00013494491577148438,1831.140625,0.7619047619047619,0.6031746031746031,0.7619047619047619,1,3,0.00016999244689941406,1831.140625
24,4,16,0.7083333333333334,0.47222222222222215,0.6060606060606061,1,3,0.0001361370086669922,1831.140625,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.140625
27,4,16,0.7037037037037037,0.4688644688644688,0.6060606060606061,1,3,0.00014209747314453125,1831.140625,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00017189979553222656,1831.140625
30,4,16,0.7,0.4666666666666666,0.5897435897435898,1,3,0.0001461505889892578,1831.140625,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.0001690387725830078,1831.140625
3,4,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016117095947265625,1831.140625
6,4,32,0.5,0.16666666666666666,0.3333333333333333,0,1,9.5367431640625e-07,1831.140625,0.5,0.25,0.5,0,1,0.0001628398895263672,1831.140625
9,4,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016069412231445312,1831.140625
12,4,32,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.000164031982421875,1831.140625
15,4,32,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.00015997886657714844,1831.140625
18,4,32,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00016117095947265625,1831.140625
21,4,32,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.00016498565673828125,1831.140625
24,4,32,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,3.0994415283203125e-06,1831.140625,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.0001590251922607422,1831.140625
27,4,32,0.4074074074074074,0.13580246913580246,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.4074074074074074,0.16598079561042522,0.4074074074074074,0,1,0.0001628398895263672,1831.140625
30,4,32,0.43333333333333335,0.14444444444444446,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.43333333333333335,0.1877777777777778,0.43333333333333335,0,1,0.0001621246337890625,1831.140625
3,4,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,9.5367431640625e-07,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0001590251922607422,1831.140625
6,4,64,0.5,0.16666666666666666,0.3333333333333333,0,1,7.152557373046875e-07,1831.140625,0.5,0.25,0.5,0,1,0.0001590251922607422,1831.140625
9,4,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016307830810546875,1831.140625
12,4,64,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00015807151794433594,1831.140625
15,4,64,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,2.1457672119140625e-06,1831.140625,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0001621246337890625,1831.140625
18,4,64,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00015997886657714844,1831.140625
21,4,64,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,9.5367431640625e-07,1831.140625,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.0001590251922607422,1831.140625
24,4,64,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,1.9073486328125e-06,1831.140625,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.0001609325408935547,1831.140625
